Chromosome,Position,Weight
chr19,23893239,0.013973841
chr19,34746608,-0.208111973
chr18,45590054,-0.052282608
chr18,58836612,0.098456565
chr16,10502211,0.228798306
chr16,10503821,0.041504427
chr16,36990131,-0.128881413
chr16,44812942,-0.127075167
chr16,44825834,-0.118761474
chr16,72678697,0.075333021
chr15,84756608,0.006506403
chr15,98780555,0.022915479
chr14,74978557,-0.015255636
chr13,25850023,-0.040447322
chr13,60687074,-0.028440295
chr12,103214639,-0.00907271
chr12,103214653,-0.130209564
chr12,17993354,0.136031468
chr12,20196783,0.085123932
chr12,20196797,0.006726217
chr12,24252012,0.209108431
chr12,24252050,0.006870005
chr12,24252069,0.062772551
chr12,24252082,0.037975029
chr11,109011776,0.174530795
chr11,49978730,-0.095917057
chr11,57832739,0.05482637
chr11,59284293,-0.086985255
chr11,82930770,0.016051755
chr11,82930778,0.133055364
chr11,82931327,0.122300259
chr11,82931398,0.001413159
chr10,118049419,-0.002714553
chr10,121150428,-0.012442231
chr10,121150434,-0.053998022
chr10,33624567,0.059164581
chr10,81433738,-0.063588132
chr10,81433744,-0.187903637
chr9,111311634,0.058448756
chr8,105270996,0.049865154
chr8,105271000,0.121562522
chr8,105271006,0.150088809
chr8,105271015,0.149463956
chr8,105271025,0.080701537
chr8,110168210,0.057541137
chr8,110168312,0.024491401
chr8,125669938,0.140827952
chr8,125669947,0.042210148
chr8,99416257,0.057791061
chr8,99416410,0.057219459
chr7,106206691,-0.03375673
chr7,141269463,-0.047538461
chr7,14622697,0.133078406
chr7,14622744,0.009215552
chr7,14622850,0.012677035
chr7,14622865,0.026950451
chr7,34647300,-0.041967597
chr7,58837214,0.02099544
chr7,80876275,0.055112922
chr7,80876298,0.222572152
chr6,122609545,-0.068705612
chr6,31218979,-0.049875306
chr6,31219004,-0.182187098
chr6,31266249,-0.199966779
chr6,32564128,-0.049074218
chr6,54289688,-0.05008383
chr6,54310302,-0.114158122
chr6,82127926,-0.032075503
chr5,146461730,-0.045852331
chr5,146461780,-0.065060989
chr5,21373561,-0.004292701
chr4,114666135,-0.005797554
chr4,139581173,-0.025018633
chr4,147738673,0.003739869
chr4,43382636,-0.084227872
chr4,73790800,0.023273238
chr2,109677128,0.081052569
chr2,164168129,0.012679994
chr2,164168150,0.045475153
chr2,164168172,0.018868521
chr2,164168181,0.051343037
chr2,164168188,0.029703581
chr2,164168189,0.02519274
chr2,180642502,0.038869404
chr2,30798786,-0.008040075
chr2,74655759,0.006073463
chr1,137182660,-0.075158283
chr1,32172827,0.049245334
chr1,55363363,0.00796506
chr1,74027687,-0.08164987
